Slot,Feet,Tank
16,3.5,4.8
17,,
18,,
19,3.5,4.5
20,3.5,4.5
21,,
22,,
23,3.5,4.0
24,,
25,,
26,5.5,4.5
27,5.5,4.5
28,,
29,,
30,6.0,4.0
