Slot,MirrorFrom,Feet_Final,Tank_Final
1,30,7.7,5.0
2,29,7.0,4.8
3,28,6.3,4.6
4,27,5.5,4.5
5,26,5.5,4.5
6,25,4.7,4.3
7,24,4.3,4.3
8,23,3.5,4.0
9,22,3.7,4.3
10,21,3.5,4.3
11,20,3.5,4.5
12,19,3.5,4.5
13,18,3.3,4.5
14,17,3.4,4.7
15,16,3.5,4.8
16,16,3.5,4.8
17,17,3.4,4.7
18,18,3.3,4.5
19,19,3.5,4.5
20,20,3.5,4.5
21,21,3.5,4.3
22,22,3.7,4.3
23,23,3.5,4.0
24,24,4.3,4.3
25,25,4.7,4.3
26,26,5.5,4.5
27,27,5.5,4.5
28,28,6.3,4.6
29,29,7.0,4.8
30,30,7.7,5.0
